ID,CITY,STATE,LONGITUDE,LATITUDE,POR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
13876,BIRMINGHAM,AL,-86.81179,33.52072,196501-197812,46,53,57,65,65,67,59,62,59,66,55,49,58
13895,MONTGOMERY,AL,-86.30005,32.38015,196501-198312,47,55,58,64,63,64,61,61,59,63,55,49,58
26451,ANCHORAGE,AK,-149.85815,61.21753,196501-198312,43,46,51,50,51,46,43,43,41,36,35,33,43
25309,JUNEAU,AK,-134.40679,58.29973,196501-197912,39,35,38,42,44,37,33,35,27,21,26,21,33
26617,NOME,AK,-165.40583,64.49947,196502-198312,38,56,54,52,52,43,39,34,38,35,30,36,42
3103,FLAGSTAFF,AZ,-111.6513,35.1982,197204-198912,71,73,72,82,83,88,74,75,79,77,72,76,76
23183,PHOENIX,AZ,-112.0758,33.44825,196501-198312,79,81,83,90,93,95,86,87,89,88,79,79,85
23160,TUCSON,AZ,-110.96977,32.22177,196501-198312,80,82,86,92,94,93,80,84,87,88,83,79,85
13964,FORT SMITH,AR,-94.42145,35.3847,196501-198312,52,56,58,60,63,70,75,70,63,63,51,51,61
13963,LITTLE ROCK,AR,-92.27485,34.7487,196501-197712,52,63,63,69,78,82,81,79,73,72,56,52,68
93193,FRESNO,CA,-119.78536,36.74095,196501-198312,44,60,74,83,91,93,96,95,93,86,59,44,76
93134,LOS ANGELES,CA,-118.24545,34.05357,196501-197712,69,70,70,78,63,63,82,85,74,74,70,71,72
23232,SACRAMENTO,CA,-121.49085,38.57944,196501-198312,45,62,73,82,92,94,97,96,93,84,61,47,77
23188,SAN DIEGO,CA,-117.16171,32.71568,196501-198312,74,73,71,72,56,57,70,72,65,70,73,75,69
23272,SAN FRANCISCO,CA,-122.41966,37.77712,196501-197412,58,66,71,77,75,69,70,69,73,71,55,55,67
23062,DENVER,CO,-104.99202,39.74001,196501-198312,71,73,71,71,64,71,71,72,74,71,64,65,69
23066,GRAND JUNCTION,CO,-108.56445,39.06879,196501-198312,59,64,63,69,72,80,78,78,79,71,60,57,69
93058,PUEBLO,CO,-104.61252,38.26375,196501-198312,75,77,78,82,79,83,81,81,82,79,73,71,78
14740,HARTFORD,CT,-72.67397,41.76381,196501-198312,59,61,56,59,58,61,66,63,59,57,47,50,58
13743,WASHINGTON NAT'L,DC,-122.05943,46.75555,196501-198312,47,53,54,60,61,64,64,66,62,57,49,45,56
13889,JACKSONVILLE,FL,-81.65622,30.33147,196502-198312,58,61,69,74,71,66,65,63,62,60,63,59,64
12836,KEY WEST,FL,-81.80023,24.5545,196501-198312,74,76,84,85,82,77,79,78,74,72,71,73,77
12839,MIAMI,FL,-80.19773,25.77481,197703-201712,68,68,74,79,73,70,77,72,69,72,63,66,70
13899,PENSACOLA,FL,-87.21726,30.42099,196501-196912,53,56,65,67,64,66,59,56,58,71,63,47,60
12842,TAMPA,FL,-82.45927,27.94653,196501-201012,66,68,75,80,77,70,67,65,65,67,66,62,69
13874,ATLANTA,GA,-84.39111,33.74831,196501-198312,50,56,59,66,65,66,62,62,60,67,61,53,60
3813,MACON,GA,-83.62802,32.83994,196501-198312,53,59,66,71,69,68,65,67,62,67,61,56,63
3822,SAVANNAH,GA,-81.09119,32.08091,196501-198312,54,58,62,70,64,62,59,57,56,62,61,53,59
21504,HILO,HI,-155.08185,19.71924,196501-200612,47,45,39,36,40,45,41,44,47,38,35,37,41
22521,HONOLULU,HI,-157.85788,21.30493,196501-198312,59,62,68,63,66,67,71,73,75,67,60,56,65
22516,KAHULUI,HI,-156.46727,20.89102,196501-198312,65,65,65,63,70,74,72,72,76,70,66,65,68
22536,LIHUE,HI,-159.3691,21.97504,196501-201012,52,54,55,57,62,62,61,65,63,56,47,46,56
24131,BOISE,ID,-116.1934,43.60764,196501-198312,32,49,66,68,74,76,85,82,80,69,41,34,63
24156,POCATELLO,ID,-112.45056,42.87497,196501-198312,38,55,63,64,68,74,82,80,78,68,43,36,62
94846,CHICAGO,IL,-87.63245,41.88425,198007-198312,41,42,53,53,58,66,68,61,61,56,35,35,52
14923,MOLINE,IL,-90.49037,41.49177,196501-198312,48,53,49,51,54,62,65,63,60,56,40,38,53
