CITY,STATE,LONGITUDE,LATITUDE,ANNUAL_PERCENT_AVG_POSSIBLE_SUNSHINE,YEARS
YUMA,AZ,-114.62461,32.68549,90%,42
REDDING,CA,-122.39249,40.58762,88%,10
LAS VEGAS,NV,-115.14001,36.17193,85%,47
PHOENIX,AZ,-112.0758,33.44825,85%,101
TUCSON,AZ,-110.96977,32.22177,85%,53
EL PASO,TX,-106.48749,31.75916,84%,54
FRESNO,CA,-119.78536,36.74095,79%,46
RENO,NV,-119.81353,39.52766,79%,45
FLAGSTAFF,AZ,-111.6513,35.1982,78%,15
SACRAMENTO,CA,-121.49085,38.57944,78%,46
ALBUQUERQUE,NM,-106.64905,35.08423,76%,63
KEY WEST,FL,-81.80023,24.5545,76%,38
PUEBLO,CO,-104.61252,38.26375,76%,61
MIDLAND-ODESSA,TX,-102.3571621,31.83379788,74%,22
ROSWELL,NM,-104.52275,33.39509,74%,7
AMARILLO,TX,-101.83389,35.20725,73%,61
ELY,NV,-114.89483,39.24705,73%,56
LOS ANGELES C.O.,CA,-91.779125,18.6537,73%,32
LAKE CHARLES,LA,-93.22011,30.22403,72%,19
LUBBOCK,TX,-101.84501,33.58451,72%,25
NORTH LITTLE ROCK,AR,-92.26761,34.75606,72%,24
GRAND JUNCTION,CO,-108.56445,39.06879,71%,56
HONOLULU,HI,-157.85788,21.30493,71%,46
JOHNSTON ISLAND,PC,119.38411,10.25162,71%,22
ABILENE,TX,-99.74142,32.44917,70%,49
DODGE CITY,KS,-100.01891,37.75267,70%,59
MIAMI,FL,-80.19773,25.77481,70%,20
MILFORD,UT,-113.01086,38.39676,70%,16
WAKE ISLAND,PC,166.64828,19.28012,70%,28
DENVER,CO,-104.99202,39.74001,69%,46
LANDER,WY,-108.73094,42.83309,68%,50
OKLAHOMA CITY,OK,-97.52107,35.47203,68%,42
SAN DIEGO,CA,-117.16171,32.71568,68%,56
WINNEMUCCA,NV,-117.73519,40.97327,68%,42
CONCORDIA,KS,-97.65747,39.57127,67%,34
KAHULUI,HI,-156.46727,20.89102,67%,37
